nombre,enlace,firma,capacidad,numero apartamentos,direccion,municipio,provincia,codigo postal,telefono,email,web,situacion,categoria,aparthotel,firma eeat,nombre eeat
APARTAMENTOS POETA QUINTANA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/alacantalicante/apartamentos/apartamentos-poeta-quintana,BL000673A,48,12,"Calle POETA QUINTANA, 44",Alacant/Alicante,Alicante,03004,673654181,,,"Edificio, bloque",E,,,
APARTAMENTOS TAMARINDOS PEÑISCOLA,http://comunitatvalenciana.com/viaje/alojamiento/castellon/peniscola/apartamentos/tamarindos,BL000188CS,316,55,"Avenida PAPA LUNA, 168",Peñíscola,Castellón,12598,964472086,info@tamarindos.net,http://www.tamarindos.net,"Edificio, bloque",E,N/D,CVEE00022CS,TAMARINDOS
APARTAMENTOS TITO SAN NICOLAS,http://comunitatvalenciana.com/viaje/alojamiento/alicante-costa-blanca/alacantalicante/apartamentos/apartamentos-tito-san-nicolas,BL000675A,24,7,"Calle SAN NICOLAS, 10",Alacant/Alicante,Alicante,03002,615261447,www. apartamentostito.es,,"Edificio, bloque",E,,,
APARTAMENTOS TURISTICOS FRESNO,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/torrevieja/apartamentos/apartamentos-turisticos-fresno,BL000626A,232,36,"Calle PURÍSIMA, 33",Torrevieja,Alicante,03180,965719858,info@apartamentosturisticosfresno.com,http://www.apartamentosturisticosfresno.com,"Edificio, bloque",E,N/D,CVEE00474 A,CARMEN PALLAS GRANERO
APARTAMENTOS VIÑA DEL MAR,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartamentos-vina-del-mar,BL000411A,184,37,"Avenida MEDITERRANEO, 47",Benidorm,Alicante,03500,965850652,vinadelmar@ctv.es,,"Edificio, bloque",E,N/D,CVEE00116 A,APARTAMENTOS VIÑA DEL MAR
APARTAMENTOS VISTAMAR,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartamentos-vistamar,BL000660A,320,80,"Avenida CUENCA, 26",Benidorm,Alicante,03503,966804343,vistamar@clickbenidorm.com,http://www.clickbenidormcom,"Edificio, bloque",E,N/D,,
APARTOTEL FARO DE CULLERA,http://comunitatvalenciana.com/viaje/alojamiento/valencia-terra-i-mar/cullera/apartamentos/apartotel-faro-de-cullera,BL000003V,148,40,"Calle MONTGO, 6",Cullera,Valencia,46408,963215110,info@aparthotelfaro.com,http://www.aparthotelfaro.com,"Edificio, bloque",Primero,N/D,CVEE00629 A,
APARTOTEL LA ERA-PARK,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-la-era-park,BL000592A,210,70,"Calle VERANO, S/N",Benidorm,Alicante,03500,966806651,,,"Edificio, bloque",E,N/D,CVEE00135 A,LA ERA PARK
APARTOTEL LEVANTE BEACH,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-beach,BL000595A,106,40,"Calle ESTOCOLMO, 11",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,www.apartamentos-levante.com/apartamentos-en-benidorm/levante-beach.html,"Edificio, bloque",E,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL LEVANTE CLUB I,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-club-i,BL000611A,187,58,"Calle ESTOCOLMO, 8",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,apartamentos-levante.com,"Edificio, bloque",E,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL LEVANTE CLUB II,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-club-ii,BL000612A,80,25,"Calle ESTOCOLMO, 8",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,www.apartamentos-levante.com/aparthotel-en-benidorm/levante-club.html,"Edificio, bloque",E,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL LEVANTE CLUB III,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-club-iii,BL000614A,111,27,"Calle ESTOCOLMO, 8",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,apartamentos-levante.com,"Edificio, bloque",E,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL LEVANTE CLUB IV,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-club-iv,BL000619A,124,28,"Calle ESTOCOLOMO, 8",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,www.apartamentos-levante.com/aparthotel-en-benidorm/levante-club.html,"Edificio, bloque",Primero,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL LEVANTE LUX,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-levante-lux,BL000624A,112,56,"Calle ESTOCOLMO, 44",Benidorm,Alicante,03503,965862783,reservas@apartamentos-levante.com,www.apartamentos-levante.com/apartamentos-en-benidorm/levante-lux.html,"Edificio, bloque",E,N/D,CVEE00134 A,"LEVANTE CLUB, S.L."
APARTOTEL OLA BLANCA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/finestrat/apartamentos/apartotel-ola-blanca,BL000668A,42,11,"Calle TORREMANZANAS, 6",Finestrat,Alicante,03509,,administracion@gofaron.es,,"Edificio, bloque",E,,,
APARTOTEL PARQUES CASABLANCA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/benissa/apartamentos/apartotel-parques-casablanca,BL000650A,240,66,"Calle EL ROSER, LA FUSTERA II, 10",Benissa,Alicante,03720,966499859,info@parquescasablanca.es,http://www.parquescasablanca.es,"Edificio, bloque",Primero,N/D,CVEE00629 A,
APARTOTEL TERRALTA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/apartotel-terralta,BL000633A,652,160,"Avenida NICARAGUA, 44",Benidorm,Alicante,03500,966813516,,http://www.apartamentos-terralta.com,"Edificio, bloque",Primero,N/D,CVEE00435 A,TERRALTA
ATLANTIDA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/atlantida,BL000441A,171,46,"Calle SAN PEDRO, 22",Benidorm,Alicante,03500,965852450,erdasa@nesca.es,,"Edificio, bloque",E,N/D,CVEE00088 A,"ERDA, S.A."
BAHIA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/bahia,BL000196A,54,25,"Calle Gijón, 1",Benidorm,Alicante,03500,965853094,,,"Edificio, bloque",E,N/D,CVEE00367 A,APARTAMENTOS BAHIA
BELLA VISTA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/pego/apartamentos/bella-vista,BL000613A,250,61,"Urbanización MONTEPEGO, S/N",Pego,Alicante,03780,966400400,mjsastre@bellavistaresidential.com,http://www.bellavistaresidential.com,"Bungalow, adosado",E,N/D,CVEE00132 A,APARTAMENTOS BELLA VISTA
BENIMAR,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/benimar,BL000628A,108,27,"Calle EMILIO ORTUÑO, 29",Benidorm,Alicante,03500,966530321,info@sabesa.es,sabesa.es,"Edificio, bloque",E,N/D,CVEE00561 A,APARTAMENTOS TURISTICOS BENIMAR
CALA MARINA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/cala-marina,BL000632A,30,15,"Calle OVIEDO, 6",Benidorm,Alicante,03502,965856965,,,"Edificio, bloque",E,N/D,CVEE00545 A,CALA MARINA
CALAS DE CAMPOAMOR,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/orihuela/apartamentos/calas-de-campoamor,BL000642A,134,32,"Calle MAR, 9",Orihuela,Alicante,03300,661370190,,,"Edificio, bloque",E,N/D,CVEE00589 A,CALAS DE CAMPOAMOR
CLIBOMAR,http://comunitatvalenciana.com/viaje/alojamiento/bloque-de-apartamentos/gandia/apartamentos/clibomar,BL000001V,132,24,"Calle ALCOY, 24",Gandia,Valencia,46730,962841986,apartamentosclibomar@hotmail.com,http://www.apartamentosclibomar.com,"Edificio, bloque",E,,,APARTAMENTOS CLIBOMAR
CLIBOMAR,http://comunitatvalenciana.com/viaje/alojamiento/valencia-terra-i-mar/gandia/apartamentos/clibomar,BL000001V,132,24,"Calle ALCOY, 24",Gandia,VALÈNCIA,46730,962841986,apartamentosclibomar@hotmail.com,http://www.apartamentosclibomar.com,"Edificio, bloque",Segundo,N/D,CVEE00096 V,APARTAMENTOS CLIBOMAR
CONGO,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/el-campello/apartamentos/congo,BL000316A,90,18,"Calle SAN BARTOLOME, 15",El Campello,Alicante,03560,965630260,apartamentoscongo@hotmail.com,http://www.apartamentoscongo.com/,"Edificio, bloque",E,N/D,CVEE00225 A,"CONGO, C.B."
CONJUNTO DE VIVIENDAS TURISTICAS BENITACHEL,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/poble-nou-de-benitatxell/apartamentos/conjunto-de-viviendas-turistica,BL000648A,77,20,"Carretera CUMBRE DEL SOL, S/N",Poble Nou de Benitatxell,ALACANT,03726,966493073,,,"Edificio, bloque",Primero,N/D,CVEE00629 A,
CONJUNTO DE VIVIENDAS TURISTICAS ESTUDIOS BENIDORM I,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/conjunto-de-viviendas-turisticas-estudios-benidorm-,BL000645A,56,28,"Avenida MARTINEZ ALEJOS, 6",Benidorm,Alicante,03501,,,,"Edificio, bloque",E,N/D,CVEE00242 A,ESTUDIOS BENIDORM
CONJUNTO VIVIENDAS TURISTICAS APARTAMENTOS EL FARO,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/conjunto-viviendas-turisticas-apartamentos-el-faro,BL000647A,208,53,"Avenida SANTANDER, 10",Benidorm,Alicante,03502,965854781,,,"Edificio, bloque",E,N/D,CVEE00155 A,EL FARO
CONJUNTO VIVIENDAS TURISTICAS AR IMPERIAL PARK RESORT & SPA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/calp/apartamentos/conjunto-viviendas-turisticas-ar-imperial-park-reso,BL000653A,792,171,"Calle TOSSAL DE LA COMETA, 1H",Calp,Alicante,03710,965836200,,http://www.ar-hotels.com,"Edificio, bloque",E,N/D,CVEE00439 A,IMPERIAL PARK RESIDENCIAL
DIAMANT BLUE,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/orihuela/apartamentos/diamant-blue,BL000664A,92,23,"Calle AGUA, 5",Orihuela,Alicante,03189,965320269,,,"Edificio, bloque",E,N/D,,
DON CESAR BOUTIQUE APARTMENTS,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/don-cesar,BL000581A,116,31,"Calle METGE PÉREZ MARTORELL, 17",Benidorm,Alicante,03501,965850513,info@doncesar.es,www.doncesar.es,"Edificio, bloque",E,N/D,CVEE00106 A,APARTAMENTOS DON CESAR
EL PALMERAL DE MADARIA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/alacantalicante/apartamentos/el-palmeral-de-madaria,BL000657A,50,12,"Calle De La Encina, 15",Alacant/Alicante,Alicante,03015,649021484,info@elpalmeraldemadaria.com,http://www.elpalmeraldemadaria.es,"Edificio, bloque",,N/D,,
EL PLANTIO GOLF RESORT,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/alacantalicante/apartamentos/el-plantio-golf-resort,BL000646A,458,98,"Camino Antigua Carretera Alicante-Elche, Km -3",Alacant/Alicante,Alicante,03114,965115049,reservas@elplantiogolfresort.es,www.elplantiogolfresort.es,"Edificio, bloque",,N/D,CVEE00629 A,
EUROPA HOUSE SUN BEACH,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/guardamar-del-segura/apartamentos/europa-house-sun-beach,BL000669A,580,130,"Avenida DEL PUERTO, 1-3",Guardamar del Segura,Alicante,03140,617484031,josemenabevia@gmail.com,,"Edificio, bloque",E,,,
HALLEY,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/halley,BL000599A,207,69,"Calle LONDRES, S/N",Benidorm,Alicante,03500,965864056,,,"Edificio, bloque",E,N/D,CVEE00268 A,APARTAMENTOS HALLEY
LA ALQUERIA DEL PILAR,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/banyeres-de-mariola/apartamentos/la-alqueria-del-pilar,BL000655A,27,4,"Calle Ventorrillo, 11",Banyeres de Mariola,Alicante,03450,667989637,lalqueria@gmail.com,http://www.alqueriadelpilar.com,"Edificio, bloque",Primero,N/D,,
LA BARCA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/la-barca,BL000616A,29,11,"Calle CONDESTABLE ZARAGOZA, 6",Benidorm,Alicante,03500,966803632,,,"Edificio, bloque",E,N/D,CVEE00168 A,APARTAMENTOS LA BARCA
LA COLINA DEL ALBIR,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/la-colina-del-albir,BL000625A,94,47,"Calle PAU CASALS, 24",L'Alfàs del Pi,Alicante,03580,966865651,,,"Edificio, bloque",E,N/D,CVEE00391 A,LA COLINA DEL ALBIR
LA CRISALIDA RETREATS,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/san-marcos,BL000309A,47,16,"Avenida SAN MARC, 9",L'Alfàs del Pi,Alicante,03580,966865242,info@lacrisalidaretreats.com,lacrisalidaretreats.com,"Bungalow, adosado",E,N/D,CVEE00219 A,"SAN MARCOS ALBIR, S.L."
LAS CAÑADAS,http://comunitatvalenciana.com/viaje/alojamiento/valencia-terra-i-mar/godelleta/apartamentos/las-canadas,BL000002V,24,6,"Carretera GODELLETA-TURIS, 8",Godelleta,Valencia,46388,,,,"Edificio, bloque",AE,N/D,CVEE00165 V,"TURISMO RURAL DEL MEDITERRANEO, S.L."
LAS TERRAZAS DEL ALBIR,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/las-terrazas-del-albir,BL000635A,48,24,"Calle ISAAC ALBENIZ, 19",L'Alfàs del Pi,Alicante,03580,966864488,,,"Edificio, bloque",E,N/D,CVEE00535 A,ALBIR APARTAMENTOS
LES DUNES SUITES,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/les-dunes-suites,BL000605A,264,88,"Avenida MADRID, 10",Benidorm,Alicante,03500,965864421,,,"Edificio, bloque",Primero,N/D,CVEE00214 A,LES DUNES SUITES
"MAGIC TROPICAL SPLASH, WATER PARK, SPA & CARIBBEAN RESORT",http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/finestrat/apartamentos/magic-monica-holidays,BL000618A,1404,326,"Avenida MARINA BAIXA, 21",Finestrat,Alicante,03509,965851121,,,"Edificio, bloque",Primero,N/D,CVEE00326 A,APARTAMENTOS TURISTICOS MONIKA HOLIDAYS
MARIA VICTORIA,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/maria-victoria,BL000596A,132,36,"Calle IBIZA, 2",Benidorm,Alicante,03500,965850722,info@apartamentosmariavictoria.com,http://www.apartamentosmariavictoria.com,"Edificio, bloque",E,N/D,CVEE00266 A,MARIA VICTORIA
MARINA SUITES CASTELLON,http://comunitatvalenciana.com/viaje/alojamiento/castellon/castellon-de-la-plana/apartamentos/marina-suites-castellon,BL000191CS,126,23,"Paseo BUENAVISTA, 32",Castellón de la Plana,Castellón,12100,964288132,reservas@apartamentosmarinasuites.com,http://www.apartamentosmarinasuites.com,"Edificio, bloque",E,N/D,,
MARYCIEL,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/maryciel,BL000580A,146,40,"Calle MURCIA, ESQ. C/ LEPANTO, S/N",Benidorm,Alicante,03503,965859579,,,"Edificio, bloque",E,N/D,CVEE00578 A,APARTAMENTOS MARYCIEL
MICHEL ANGELO,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/michel-angelo,BL000600A,126,29,"Calle Primavera, 6",Benidorm,Alicante,03500,965857150,,,"Edificio, bloque",E,N/D,CVEE00348 A,APARTAMENTOS MICHEL ANGELO
ORANGE PARK,http://comunitatvalenciana.com/viaje/alojamiento/castellon/benicassim/apartamentos/orange-park,BL000189CS,190,30,"Calle PALMERAL, 86",Benicasim,Castellón,12560,964395300,reservas@viajesorange.com,www.orangecosta.com,"Edificio, bloque",E,N/D,CVEE00002CS,ORANGE COSTA S.L.
PIERRE  VACANCES BENIDORM PONIENTE,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/pierre-vacances-benidorm-poniente,BL000667A,168,80,"Calle Presidente Adolfo Suarez, 7",Benidorm,Alicante,03502,965869797,jorodrigo@fr.groupepvcp.com,http://pierreetvacances.com,"Edificio, bloque",Primero,,,
PLAYA ALBIR,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/playa-albir,BL000609A,96,24,"Avenida DEL ALBIR, 6-CAPITOLI",L'Alfàs del Pi,Alicante,03580,966866206,,,"Edificio, bloque",E,N/D,CVEE00254 A,APARTAMENTOS PLAYA ALBIR
PLAYA OLIVA,http://comunitatvalenciana.com/viaje/alojamiento/valencia-terra-i-mar/oliva/apartamentos/playa-oliva,BL000004V,66,21,"Carretera OLIVA AL MAR  KM, 2",Oliva,Valencia,46780,962855498,info@olivasurf.com,http://www.olivasurf.com,"Edificio, bloque",E,N/D,,
PRIMAVERA LOIX,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/primavera-dos,BL000623A,210,70,"Avenida Derramador, 9",Benidorm,Alicante,,965860022,,,"Edificio, bloque",E,N/D,CVEE00097 A,PRIMAVERA PARK
PUEBLO ACANTILADO SUITES,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/el-campello/apartamentos/pueblo-acantilado-suites,BL000643A,224,100,"Plaza CIUTAT DE L'ALGUER, 10",El Campello,Alicante,03560,965638146,reservas@puebloacantilado.com,http://www.puebloacantilado.com,"Edificio, bloque",Primero,N/D,,
"RESIDENCIA ROJALES, SL",http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/rojales/apartamentos/residencia-rojales-sl,BL000671A,72,32,"Calle ZEUS, 3",Rojales,Alicante,03170,966713419,info@residenciarojales.es,,"Edificio, bloque",E,,,
RESIDENCIALAVENIDA GOLF,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/residencialavenida-golf,BL000636A,120,30,"Calle BULEVAR DE LOS MÚSICOS, 15",L'Alfàs del Pi,Alicante,03581,966865202,info@albirconfort.es,,"Edificio, bloque",Primero,N/D,CVEE00297 A,ALBIR CONFORT HOLIDAYS
ROYBEL,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/roybel,BL000475A,170,56,"Avenida MEDITERRANEO, 13",Benidorm,Alicante,03500,965850203,,,"Edificio, bloque",Primero,N/D,CVEE00288 A,LEADING MAN
SANDOS BENIDORM SUITES,http://comunitatvalenciana.com/viaje/alojamiento/benidorm/benidorm/apartamentos/marconfort-benidorm-suites,BL000588A,800,200,"Calle ESPERANTO, S/N",Benidorm,Alicante,03500,965865352,direccion.benidormsuites@marconfort.com,http:///www.marconfort.com,"Edificio, bloque",Primero,N/D,CVEE00208 A,FLAMINGO BENIDORM
SANTA POLA LIFE RESORT,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/santa-pola/apartamentos/santa-pola-life-resort,BL000662A,323,141,"Calle MONTE DE SANTA POLA, 13",Santa Pola,Alicante,03130,966619010,ecamano@bankiahabitat.es,http://www.vidayresorts.com,"Bungalow, adosado",Primero,N/D,,
SUNSEA VILLAGE,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/calp/apartamentos/sunsea-village,BL000630A,152,32,,Calp,Alicante,03710,965830197,,,"Chalet, villa",E,N/D,CVEE00423 A,SUNSEA VILLAGE
VICTORIA BEACH,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/calp/apartamentos/victoria-beach,BL000638A,121,23,"Avenida ROSA DE LOS VIENTOS, 5",Calp,Alicante,03710,965875223,,,"Edificio, bloque",E,N/D,CVEE00485 A,VICTORIA BEACH
VILLA MONTEVERDE,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/xabiajavea/apartamentos/villa-monteverde,BL000622A,78,14,"Partida CAP MARTÍ, S/N",Xàbia/Jávea,Alicante,03730,966470200,,,"Chalet, villa",E,N/D,CVEE00322 A,BTB 2
VILLA ROMÁNTICA,http://comunitatvalenciana.com/viaje/alojamiento/costa-blanca/l-alfas-del-pi/apartamentos/villa-romantica,BL000627A,70,12,"Camino SARANDÓ, 15",L'Alfàs del Pi,Alicante,03580,965888714,,,"Bungalow, adosado",E,N/D,CVEE00416 A,VILLA ROMANTICA
